epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0985,0.86036,2.13279,0.94171,0.95149,0.55462,0.67186,0.59487,0.75643,0.95457,0.89071,0.000363836,0.000363836,0.000363836
2,154.46,0.87451,1.17583,0.94988,0.89576,0.7265,0.73623,0.55534,0.9103,2.12951,1.08078,0.000722056,0.000722056,0.000722056
3,230.702,0.91827,1.07606,0.95655,0.76582,0.7265,0.73574,0.58889,0.8008,1.0228,0.94384,0.00106805,0.00106805,0.00106805
4,305.935,0.8759,1.01711,0.95191,0.39046,0.69765,0.67085,0.54116,0.95912,1.38569,1.09642,0.00105601,0.00105601,0.00105601
5,382.596,0.84779,0.85731,0.9398,0.87028,0.61896,0.63074,0.40981,2.26613,1.41262,2.31128,0.00103767,0.00103767,0.00103767
6,459.466,0.86396,0.80577,0.94035,0.66919,0.73611,0.7337,0.59548,0.75927,0.83802,0.90641,0.00101934,0.00101934,0.00101934
7,534.621,0.83124,0.73217,0.95316,0.97631,0.7313,0.75543,0.64368,0.68203,0.53429,0.89026,0.00100101,0.00100101,0.00100101
8,611.995,0.81397,0.7383,0.93272,0.98858,0.70608,0.77485,0.62853,0.60189,0.50236,0.86793,0.000982679,0.000982679,0.000982679
9,688.314,0.77189,0.66363,0.92799,0.93381,0.72633,0.73158,0.63742,0.58747,0.52108,0.86038,0.000964348,0.000964348,0.000964348
10,765.745,0.80716,0.67825,0.92894,0.95066,0.7265,0.79537,0.68589,0.66303,0.54119,0.86656,0.000946016,0.000946016,0.000946016
11,841.796,0.79241,0.6527,0.92125,0.98344,0.72253,0.73408,0.58667,0.58781,0.54179,0.85051,0.000927685,0.000927685,0.000927685
12,918.846,0.75952,0.60263,0.90999,0.98826,0.71058,0.73673,0.63972,0.72776,0.51038,0.88214,0.000909353,0.000909353,0.000909353
13,994.965,0.7613,0.60562,0.91274,0.96144,0.71688,0.74168,0.6801,0.61786,0.47963,0.86995,0.000891022,0.000891022,0.000891022
14,1070.88,0.74176,0.61017,0.91953,0.96648,0.72674,0.74964,0.65019,0.60835,0.48415,0.86052,0.000872691,0.000872691,0.000872691
15,1147.74,0.70608,0.56081,0.89545,0.98768,0.71841,0.73674,0.67919,0.5512,0.44998,0.85285,0.000854359,0.000854359,0.000854359
16,1223.1,0.73137,0.54191,0.89835,0.97972,0.7212,0.76291,0.65367,0.57743,0.46915,0.85557,0.000836027,0.000836027,0.000836027
17,1295.74,0.72357,0.56197,0.905,0.98013,0.7313,0.77355,0.66324,0.59106,0.44509,0.85186,0.000817696,0.000817696,0.000817696
18,1368.85,0.69031,0.56883,0.90153,0.98374,0.72592,0.80361,0.67651,0.55019,0.44078,0.84945,0.000799365,0.000799365,0.000799365
19,1442.96,0.71973,0.51555,0.89383,0.95985,0.71855,0.85621,0.76133,0.53079,0.43958,0.8365,0.000781033,0.000781033,0.000781033
20,1517.45,0.67323,0.53406,0.88779,0.98367,0.7313,0.80215,0.70826,0.54841,0.40706,0.84386,0.000762702,0.000762702,0.000762702
21,1590.78,0.67461,0.4845,0.87586,0.63827,0.8563,0.85625,0.69488,0.60114,0.41751,0.84788,0.00074437,0.00074437,0.00074437
22,1667.42,0.70052,0.49131,0.89312,0.79259,0.95203,0.89777,0.7105,0.53415,0.41412,0.84272,0.000726038,0.000726038,0.000726038
23,1743.17,0.68295,0.48807,0.88544,0.92985,0.7313,0.78714,0.67552,0.53187,0.44476,0.84512,0.000707707,0.000707707,0.000707707
24,1821.88,0.66502,0.52135,0.88047,0.71617,0.85201,0.85641,0.75123,0.52164,0.41764,0.83312,0.000689376,0.000689376,0.000689376
25,1900.38,0.66758,0.49711,0.88914,0.78153,0.8563,0.82999,0.72504,0.51629,0.45241,0.83724,0.000671044,0.000671044,0.000671044
26,1977.63,0.64068,0.47962,0.87991,0.94429,0.7313,0.79928,0.69138,0.57596,0.40509,0.84561,0.000652712,0.000652712,0.000652712
27,2055.1,0.64857,0.50184,0.86993,0.95411,0.69566,0.85957,0.76126,0.50186,0.39373,0.83463,0.000634381,0.000634381,0.000634381
28,2132.35,0.65269,0.48589,0.88428,0.79451,0.85817,0.93899,0.76342,0.55718,0.41758,0.84076,0.000616049,0.000616049,0.000616049
29,2209.04,0.62212,0.45885,0.86458,0.98469,0.7313,0.85698,0.69276,0.55798,0.37134,0.83597,0.000597718,0.000597718,0.000597718
30,2285.47,0.61496,0.45282,0.86034,0.98521,0.7313,0.82528,0.72388,0.55396,0.38302,0.84078,0.000579386,0.000579386,0.000579386
31,2362.52,0.64992,0.45527,0.87471,0.95436,0.7313,0.8562,0.74568,0.51833,0.40744,0.84033,0.000561055,0.000561055,0.000561055
32,2437.23,0.61058,0.41663,0.8571,0.98758,0.7313,0.81506,0.71059,0.51283,0.37633,0.8331,0.000542723,0.000542723,0.000542723
33,2511.72,0.61939,0.44141,0.86791,0.69163,0.94303,0.98078,0.80107,0.52443,0.36706,0.83295,0.000524392,0.000524392,0.000524392
34,2587.59,0.61471,0.4018,0.86082,0.897,0.95561,0.9814,0.81602,0.56974,0.3779,0.84707,0.00050606,0.00050606,0.00050606
